Year,Venue,Speaker/Author
2026,"IEEE Central European AI Summit 2026 (AI Summit 2026), Kimpton BEM Budapest, Hungary, 19-21 March 2026, https://aisummit.uni-obuda.hu/","Participant"
2026,"ICECET 2026: 6th International Conference on Electrical, Computer and Energy Technologies (hybrid), 6-9 July 2026, https://www.icecet.com/home","Reviewer"
2025,"IEEE 29th International Conference on Intelligent Engineering Systems (INES)","Speaker/Author"
2024,"IEEE 22nd World Symposium on Applied Machine Intelligence (SAMI)","Speaker/Author"
2024,"International Conference on Intelligent Systems and Pattern Recognition","Speaker/Author"
2024,"International Conference on Frontiers of Artificial Intelligence, Ethics … (as on Google Scholar)","Speaker/Author"
2023,"IEEE 17th International Symposium on Applied Computational Intelligence (SACI)","Speaker/Author"
2023,"IEEE 14th International Conference on Cognitive Infocommunications (CogInfoCom)","Speaker/Author"
2022,"International Conference on Pattern Recognition and Artificial Intelligence (ICPRAI)","Author"
2022,"13th Conference of PhD Students in Computer Science (Szeged, Hungary)","Speaker/Author"
